bigram,total_bigrams
king thranduil’s,245
legolas stated,245
bard answered,244
elf lord’s,244
merry looked,244
ori looked,244
single word,244
thranduil legolas,244
thranduil stated,244
tomorrow morning,244
cave troll,243
jaw dropped,243
keen eyes,243
kíli fíli,243
thranduil thranduil,243
bare skin,242
eyes darting,242
healing house,242
legolas nods,242
woodland king,242
breath hitched,241
eyes flew,241
eyes narrowing,241
home legolas,241
mind legolas,241
sister son,241
thranduil thorin,241
found legolas,240
heart pounding,240
index finger,240
mister frodo,240
tree trunk,240
upper body,240
wee thorin,240
breathed deeply,239
elvish translations,239
thorin snorted,239
bilbo’s heart,238
cut short,238
fair haired,238
fell beast,238
la la,238
star walker,238
aragorn frowned,237
chapter 11,237
cold air,237
don’t remember,237
elrond told,237
smiled faintly,237
time chapter,237
aragorn continued,236
bilbo's eyes,236
estel looked,236
hair falling,236
leave legolas,236
royal wing,236
stepped inside,236
ten thousand,236
thranduil's hand,236
bilbo wondered,235
soft lips,235
stayed silent,235
legolas cock,234
legolas ear,234
legolas kissed,234
walked slowly,234
words legolas,234
black gates,233
legolas elladan,233
morgul blade,233
shuddering breath,233
bright smile,232
heart sank,232
kili couldn’t,232
legolas mind,232
legolas shifted,232
thranduil closed,232
thranduil glanced,232
waited patiently,232
aragorn boromir,231
blue sky,231
foster son,231
gimli’s hair,231
j.r.r tolkien,231
legolas tauriel,231
eyes twinkling,230
khazad dum,230
legolas wasn’t,230
moment bilbo,230
nodded slightly,230
soul mate,230
hair legolas,229
king theoden,229
le roi,229
legolas added,229
notes 1,229
replied softly,229
broken heart,228
door shut,228
lady vonild,228
legolas ran,228
thorin stared,228
bilbo started,227
elladan smiled,227
kissed legolas,227
melleth nin,227
pointy ears,227
thranduil grinned,227
baby brother,226
dark arts,226
giant spiders,226
kili kili,226
quick kiss,226
